id,observed_on,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
964784,2/06/13,,57957,heni,2013-06-02 09:06:12 UTC,2014-10-18 01:22:21 UTC,research,CC-BY,http://www.inaturalist.org/observations/964784,http://static.inaturalist.org/photos/1215773/medium.?1413299950,"This time we managed to get a decent photo of the kaka.  Still all alone, though.",1,0,FALSE,,"South Head, Auckland",-36.47796639,174.2920797,10,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
965033,1/06/13,,1115,jon_sullivan,2013-06-06 11:11:51 UTC,2014-10-19 07:06:49 UTC,casual,CC-BY,http://www.inaturalist.org/observations/965033,http://farm4.staticflickr.com/3687/8968430300_b2743fd998.jpg,One of the captive kaka at Willowbank. The nearest wild bird must be over 100 km away.,1,0,TRUE,,"Willowbank Reserve, Christchurch, Canterbury, New Zealand",-43.38124809,172.5670753,,,,,,South Island Kaka,Nestor meridionalis meridionalis,South Island Kaka,Aves,413490
966338,25/06/13,,57929,epitree,2013-06-25 04:24:15 UTC,2014-10-13 20:51:32 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/966338,,One only flying high and calling (Visible this time) at 7.15 am this morning. Could not hear any answering calls this time.,0,0,FALSE,,Te Aroha NI,-37.60656692,175.7468247,,obscured,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
966340,,,58326,brett,2013-06-25 05:57:37 UTC,2014-10-13 20:51:32 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/966340,,sighted in a poplar tree (leafless) for approx. 15 minutes before it flew off,0,0,FALSE,,Tauwhare    near Hamilton,-39.98171516,176.1444335,,,,,,kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
966517,27/06/13,,58290,amber_tony,2013-06-26 22:04:06 UTC,2014-10-13 20:52:18 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/966517,,Just had our first Kaka in a large sycamore tree at our house - just looked at me and squawked :),0,0,FALSE,,,-41.27544469,174.7800405,,,,,Wellington City,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
967348,9/07/13,,58290,amber_tony,2013-07-08 21:18:15 UTC,2014-10-13 20:54:00 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/967348,,Three kÄÅkÄÅ flying low in formation,0,0,FALSE,,,-41.30162795,174.8072079,,,,,Wellington City,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
969385,14/08/13,,58290,amber_tony,2013-08-13 20:45:10 UTC,2014-10-13 20:58:10 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/969385,,We just had a kaka turn up in the sycamore tree in our back yard. Tui chased it away before I could get a photo.,0,0,FALSE,,,-41.24069158,174.7008585,,,,,Wellington City,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
969603,16/03/13,,58415,kaybe,2013-08-17 06:05:19 UTC,2014-10-18 01:27:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/969603,http://static.inaturalist.org/photos/1222755/medium.?1413320364,"A kaka visiting one of the feeders in the visitor viewing area in Maungatautari Ecological 'Island' reserve near Cambridge, Waikato.",1,0,FALSE,,Maungatautari Reserve,-38.03995278,175.5647261,,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
969604,16/03/13,,58415,kaybe,2013-08-17 06:08:25 UTC,2014-10-18 01:27:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/969604,http://static.inaturalist.org/photos/1222756/medium.?1413320370,"A kaka climbing one of the pongas in the visitor viewing area in Maungatautari Ecological 'Island' reserve near Cambridge, Waikato.",1,0,FALSE,,Maungatautari Reserve,-38.01755593,175.529209,,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
969611,17/08/13,,58417,wellingtonfeijoa,2013-08-17 07:11:05 UTC,2014-10-13 20:58:38 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/969611,,,0,0,FALSE,,"putnam st, northland",-41.29973403,174.7378438,233,,,,Wellington City,kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
969626,26/07/13,,57511,p_cochrane,2013-08-17 09:46:23 UTC,2014-10-13 20:58:40 UTC,casual,,http://www.inaturalist.org/observations/969626,,,0,0,FALSE,,Carpark at Opoutere,-37.12415681,175.9379546,,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
971170,10/09/13,,58444,projecttongariro,2013-09-10 03:10:15 UTC,2014-10-13 21:01:41 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/971170,,,0,0,FALSE,,"Rotopounamu Track, North side",-39.07807214,175.7574799,,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
971256,1/09/13,,58447,huia87,2013-09-11 03:43:25 UTC,2014-10-13 21:01:52 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/971256,,Kaka calling loudly and moving in a small flock (about 4 individuals) through the upper canopy of this stand of exotic conifers,0,0,FALSE,,Radiata Pine forest stand on the Western side of the entrance to the Polhill Reserve,-41.29078025,174.7040072,290,,,,Wellington City,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
